"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2012","2012","M3","Cubic metres","6","Millions",,,23.217,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2013","2013","M3","Cubic metres","6","Millions",,,22.651,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2014","2014","M3","Cubic metres","6","Millions",,,21.224,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2015","2015","M3","Cubic metres","6","Millions",,,19.063,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2016","2016","M3","Cubic metres","6","Millions",,,21.303,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2017","2017","M3","Cubic metres","6","Millions",,,19.648,,
"LVA","Latvia","TOTAL_ABSTRACT","Total freshwater","INDUSTRY","Manufacturing industry","2018","2018","M3","Cubic metres","6","Millions",,,37.915,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,17000,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,22253,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,18296.24,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,19768.69,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,17136,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,16993,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,18832.4,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,17016.41,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,17213.36,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,17024.01,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2016","2016",,,"0","Units",,,15704.59,,
"FRA","France","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2017","2017",,,"0","Units",,,16094.5,,
